127.0.0.1 - - [05/May/2017:16:32:20 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [05/May/2017:16:32:21 +0530] "GET /ang/a2.html HTTP/1.1" 200 823
0:0:0:0:0:0:0:1 - - [05/May/2017:16:32:21 +0530] "GET /ang/js/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2017:16:32:31 +0530] "GET /ang/a2.html HTTP/1.1" 200 823
0:0:0:0:0:0:0:1 - - [05/May/2017:16:32:31 +0530] "GET /ang/js/angular.js HTTP/1.1" 200 1249863
0:0:0:0:0:0:0:1 - - [05/May/2017:16:32:31 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [05/May/2017:16:37:26 +0530] "GET /ang/a2.html HTTP/1.1" 200 835
0:0:0:0:0:0:0:1 - - [05/May/2017:16:37:28 +0530] "GET /ang/a2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2017:16:38:24 +0530] "GET /ang/a2.html HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [05/May/2017:16:38:26 +0530] "GET /ang/a2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2017:16:38:50 +0530] "GET /ang/a2.html HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [05/May/2017:16:38:52 +0530] "GET /ang/a2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2017:16:38:52 +0530] "GET /ang/js/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2017:16:39:01 +0530] "GET /ang/a2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2017:16:39:02 +0530] "GET /ang/a2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2017:16:40:29 +0530] "GET /ang/a2.html HTTP/1.1" 200 835
0:0:0:0:0:0:0:1 - - [05/May/2017:16:40:31 +0530] "GET /ang/a2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2017:16:40:34 +0530] "GET /ang/a2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2017:16:45:51 +0530] "GET /ang/a2.html HTTP/1.1" 200 839
0:0:0:0:0:0:0:1 - - [05/May/2017:16:47:31 +0530] "GET /ang/a2.html HTTP/1.1" 200 839
